benchmark_id,field,type,expected,actual,raw_actual
REC-001,supplier,value_mismatch,118 mj mookata house,1 18 mj mookata house,1 18 MJ MOOKATA HOUSE
REC-001,amount,value_mismatch,102.40,,
REC-001,document_number,value_mismatch,rec-003763,,
REC-002,supplier,value_mismatch,ali baba international sdn bhd,table 11,Table 11
REC-002,date,value_mismatch,2018-02-19,,
REC-002,amount,value_mismatch,23.80,2.50,2.50
REC-002,document_number,value_mismatch,186242,,
REC-003,supplier,value_mismatch,bemed (sp) sdn bhd.,cash receip t,CASH RECEIP T
REC-003,date,value_mismatch,2018-03-27,,
REC-003,amount,value_mismatch,308.70,,
REC-003,document_number,value_mismatch,236100411023,,
REC-004,supplier,value_mismatch,boon seng paper sdn bhd,tota1 amnt incl,Tota1 Amnt Incl
REC-004,date,value_mismatch,2018-03-19,,
REC-004,amount,value_mismatch,31.80,,
REC-004,document_number,value_mismatch,cs180319-0015,,
REC-005,supplier,value_mismatch,contento,contenio (adtshc-k),CONTENIO (ADTSHC-K)
REC-005,date,value_mismatch,2018-03-20,,
REC-005,amount,value_mismatch,21.60,,
REC-006,supplier,value_mismatch,econsave cash & carry (fc) s/b,teh #,TEH #
REC-006,date,value_mismatch,2018-03-22,,
REC-006,amount,value_mismatch,5.15,,
REC-006,document_number,value_mismatch,220318/10049/04/24382,,
REC-007,supplier,value_mismatch,foodelico sdn. bhd.,,
REC-007,date,value_mismatch,2018-04-29,,
REC-007,amount,value_mismatch,13.00,,
REC-007,document_number,value_mismatch,c4004290047,,
REC-008,amount,value_mismatch,14.70,,
REC-008,document_number,value_mismatch,002411100014400,,
REC-009,supplier,value_mismatch,heng kee delights bak kut teh.,tax tnvo1ce :tbo11s30,TAX TNVO1CE :TBO11S30
REC-009,amount,value_mismatch,42.00,,
REC-009,document_number,value_mismatch,tb011530,,
REC-010,supplier,value_mismatch,kaison furnishing sdn bhd,kaison furnishing son bho,KAISON FURNISHING SON BHO
REC-010,date,value_mismatch,2018-03-25,,
REC-010,amount,value_mismatch,18.70,3.90,3.90
REC-010,document_number,value_mismatch,0000mtw-p2000086706,,
REC-011,supplier,value_mismatch,king's confectionery s/b,tel no: 03,TEL NO: 03
